Source_country,Contestant,2016,2017,2018,2019,2021,2022,2023,Total_points,Frequency
Finland,Bulgaria,4,13,10,0,10,0,0,37,4
Finland,Croatia,0,0,0,0,0,0,4,4,1
Finland,Cyprus,1,5,7,0,0,0,1,14,4
Finland,Czech Republic,3,0,5,4,0,0,18,30,4
Finland,Denmark,0,4,13,0,0,0,0,17,2
Finland,Estonia,0,0,12,8,0,10,6,36,4
Finland,France,4,1,9,0,13,1,7,35,6
Finland,Germany,0,0,1,0,0,0,5,6,2
Finland,Greece,0,0,0,0,2,6,0,8,2
Finland,Hungary,0,4,8,0,0,0,0,12,2
Finland,Iceland,0,0,0,12,20,0,0,32,2
Finland,Ireland,0,0,2,0,0,0,0,2,1
Finland,Israel,7,0,19,0,0,0,0,26,2
Finland,Italy,2,15,10,8,14,2,6,57,7
Finland,Latvia,2,0,0,0,0,0,0,2,1
Finland,Lithuania,6,0,0,0,8,2,0,16,3
Finland,Malta,5,0,0,1,1,0,0,7,3
Finland,Moldova,0,8,0,0,2,5,3,18,4
Finland,Netherlands,10,0,2,13,0,5,0,30,4
Finland,North Macedonia,0,0,0,7,0,0,0,7,1
Finland,Norway,0,3,0,10,4,10,12,39,5
Finland,Poland,5,0,0,0,0,0,0,5,1
Finland,Portugal,0,20,0,0,0,0,3,23,2
Finland,Romania,0,3,0,0,0,0,0,3,1
Finland,Russia,8,0,0,4,5,0,0,17,3
Finland,Serbia,0,0,0,0,0,14,0,14,1
Finland,Slovenia,0,0,0,7,0,0,7,14,2
Finland,Spain,0,0,0,0,0,3,0,3,1
Finland,Sweden,22,18,8,19,8,20,12,107,7
Finland,Switzerland,0,0,0,5,19,0,11,35,3
Finland,Ukraine,12,0,0,0,10,12,0,34,3
Finland,United Kingdom,0,2,0,0,0,14,4,20,3
France,Armenia,14,6,0,0,0,12,19,51,4
France,Australia,6,2,10,10,0,0,0,28,4
France,Austria,16,1,7,0,0,0,10,34,4
France,Azerbaijan,0,0,0,6,0,0,0,6,1
France,Belgium,4,8,0,0,6,6,2,26,5
France,Bulgaria,15,9,0,0,0,0,0,24,2
France,Cyprus,0,0,3,0,2,0,0,5,2
France,Czech Republic,0,0,4,3,0,2,4,13,4
France,Denmark,0,0,2,5,0,0,0,7,2
France,Estonia,0,0,7,0,0,0,0,7,1
France,Finland,0,0,0,0,1,0,14,15,2
France,Germany,0,0,8,0,0,0,0,8,1
France,Greece,0,0,0,0,12,3,0,15,2
France,Hungary,0,2,0,0,0,0,0,2,1
France,Iceland,0,0,0,6,7,0,0,13,2
France,Ireland,0,0,1,0,0,0,0,1,1
France,Israel,3,9,24,12,10,0,22,80,6
France,Italy,12,15,10,18,10,3,9,77,7
France,Malta,4,0,0,0,0,0,0,4,1
France,Moldova,0,7,6,0,7,10,8,38,5
France,Netherlands,7,4,6,17,0,4,0,38,5
France,North Macedonia,0,0,0,7,0,0,0,7,1
France,Norway,0,7,0,8,0,0,1,16,3
France,Poland,7,1,0,0,0,12,0,20,3
France,Portugal,0,24,8,0,16,7,10,65,5
France,Romania,0,10,0,0,0,1,0,11,2
France,Russia,7,0,0,3,10,0,0,20,3
France,San Marino,0,0,0,0,4,0,0,4,1
France,Serbia,0,0,1,0,3,8,0,12,3
France,Slovenia,0,0,2,0,0,0,0,2,1
France,Spain,4,0,5,7,0,12,0,28,4
France,Sweden,7,8,5,10,3,0,9,42,6
France,Switzerland,0,0,0,4,13,0,3,20,3
France,Ukraine,10,0,4,0,12,22,5,53,5
France,United Kingdom,0,3,3,0,0,14,0,20,3
Georgia,Albania,0,0,4,0,0,0,0,4,1
Georgia,Armenia,12,13,0,0,0,10,22,57,4
Georgia,Australia,9,0,0,0,0,0,2,11,2
Georgia,Austria,0,5,9,0,0,0,0,14,2
Georgia,Azerbaijan,7,22,0,17,8,3,0,57,5
Georgia,Belarus,0,6,0,0,0,0,0,6,1
Georgia,Belgium,10,0,0,0,0,0,12,22,2
Georgia,Bulgaria,3,13,6,0,4,0,0,26,4
Georgia,Croatia,2,0,0,0,0,0,1,3,2
Georgia,Cyprus,0,6,10,18,0,0,3,37,4
Georgia,Czech Republic,0,0,0,12,0,0,0,12,1
Georgia,Denmark,0,0,3,7,0,0,0,10,2
Georgia,Estonia,0,0,16,0,0,0,5,21,2
Georgia,Finland,0,0,0,0,0,2,9,11,2
Georgia,France,4,3,4,5,5,1,0,22,6
Georgia,Germany,1,0,7,0,0,0,0,8,2
Georgia,Greece,0,0,0,0,12,4,0,16,2
Georgia,Hungary,2,0,0,0,0,0,0,2,1
Georgia,Iceland,0,0,0,3,7,0,0,10,2
Georgia,Israel,3,0,15,4,0,0,13,35,4
Georgia,Italy,0,7,5,1,20,10,13,56,6
Georgia,Latvia,13,0,0,0,0,0,0,13,1
Georgia,Lithuania,10,0,9,0,13,5,10,47,5
Georgia,Malta,0,0,0,0,1,0,0,1,1
Georgia,Moldova,0,0,3,0,2,8,3,16,4
Georgia,Netherlands,0,1,5,13,2,4,0,25,5
Georgia,North Macedonia,0,0,0,2,0,0,0,2,1
Georgia,Norway,0,7,0,0,0,0,2,9,2
Georgia,Poland,4,0,0,0,0,2,0,6,2
Georgia,Portugal,0,20,0,0,8,7,0,35,3
Georgia,Russia,8,0,0,8,4,0,0,20,3
Georgia,San Marino,0,0,0,10,7,0,0,17,2
Georgia,Serbia,0,0,0,0,0,7,0,7,1
Georgia,Slovenia,0,0,0,4,0,0,0,4,1
Georgia,Spain,0,0,0,0,0,11,0,11,1
Georgia,Sweden,6,9,12,8,0,8,11,54,6
Georgia,Switzerland,0,0,0,3,10,0,0,13,2
Georgia,Ukraine,22,4,8,0,13,18,10,75,6
Georgia,United Kingdom,0,0,0,1,0,16,0,17,2
Germany,Albania,0,0,0,0,0,0,8,8,1
Germany,Armenia,2,0,0,0,0,0,0,2,1
Germany,Australia,11,5,7,15,0,5,8,51,6
Germany,Austria,7,2,15,0,0,0,2,26,4
Germany,Azerbaijan,0,0,0,0,0,6,0,6,1
Germany,Belgium,5,10,0,0,0,0,2,17,3
Germany,Bulgaria,4,13,0,0,0,0,0,17,2
Germany,Croatia,0,11,0,0,0,0,6,17,2
Germany,Cyprus,0,0,9,0,7,0,0,16,2
Germany,Czech Republic,0,0,8,0,0,0,5,13,2
Germany,Denmark,0,0,3,5,0,0,0,8,2
Germany,Estonia,0,0,2,0,0,0,10,12,2
Germany,Finland,0,0,0,0,8,0,12,20,2
Germany,France,0,0,0,4,22,0,0,26,2
Germany,Georgia,8,0,0,0,0,0,0,8,1
Germany,Hungary,0,4,2,0,0,0,0,6,2
Germany,Iceland,0,0,0,2,9,0,0,11,2
Germany,Ireland,0,0,15,0,0,0,0,15,1
Germany,Israel,12,0,11,0,0,0,0,23,2
Germany,Italy,4,4,12,18,13,3,14,68,7
Germany,Latvia,2,0,0,0,0,0,0,2,1
Germany,Lithuania,1,0,8,0,13,0,1,23,4
Germany,Malta,0,0,0,3,8,0,0,11,2
Germany,Moldova,0,7,0,0,0,10,0,17,2
Germany,Netherlands,7,8,5,15,0,8,0,43,5
Germany,North Macedonia,0,0,0,7,0,0,0,7,1
Germany,Norway,0,12,0,17,1,4,11,45,5
Germany,Poland,10,2,0,0,0,8,4,24,4
Germany,Portugal,0,22,0,0,0,0,0,22,1
Germany,Romania,0,6,0,0,0,1,0,7,2
Germany,Russia,12,0,0,8,7,0,0,27,3
Germany,Serbia,0,0,0,0,3,7,3,13,3
Germany,Slovenia,0,0,0,3,0,0,0,3,1
Germany,Spain,0,0,6,0,0,10,7,23,3
Germany,Sweden,18,4,12,3,4,12,13,66,7
Germany,Switzerland,0,0,0,16,12,2,3,33,4
Germany,Ukraine,13,0,0,0,9,22,7,51,4
Germany,United Kingdom,0,6,1,0,0,18,0,25,3
Greece,Albania,0,0,17,8,7,0,7,39,4
Greece,Armenia,18,10,0,0,0,0,2,30,3
Greece,Australia,12,0,0,5,0,8,5,30,4
Greece,Austria,1,0,0,0,0,0,7,8,2
Greece,Azerbaijan,1,10,0,8,2,12,0,33,5
Greece,Belarus,0,3,0,0,0,0,0,3,1
Greece,Belgium,0,5,0,0,3,0,12,20,3
Greece,Bulgaria,7,12,5,0,8,0,0,32,4
Greece,Cyprus,20,24,24,24,24,0,16,132,6
Greece,Czech Republic,0,0,7,0,0,2,1,10,3
Greece,Estonia,0,0,7,0,0,0,0,7,1
Greece,Finland,0,0,0,0,6,0,10,16,2
Greece,France,10,4,5,1,13,1,3,37,7
Greece,Georgia,5,0,0,0,0,0,0,5,1
Greece,Germany,0,0,2,0,0,0,0,2,1
Greece,Hungary,5,0,6,0,0,0,0,11,2
Greece,Iceland,0,0,0,2,0,0,0,2,1
Greece,Israel,0,0,10,0,0,0,15,25,2
Greece,Italy,0,11,9,17,14,8,5,64,6
Greece,Malta,4,0,0,5,9,0,0,18,3
Greece,Moldova,0,13,11,0,10,9,0,43,4
Greece,Netherlands,0,0,0,6,0,4,0,10,2
Greece,North Macedonia,0,0,0,1,0,0,0,1,1
Greece,Norway,0,0,3,0,0,6,6,15,3
Greece,Poland,3,0,0,0,0,10,0,13,2
Greece,Portugal,0,13,0,0,0,3,10,26,3
Greece,Romania,0,7,0,0,0,9,0,16,2
Greece,Russia,22,0,0,18,3,0,0,43,3
Greece,San Marino,0,0,0,6,7,0,0,13,2
Greece,Serbia,0,0,2,0,0,8,1,11,3
Greece,Slovenia,0,0,0,4,0,0,0,4,1
Greece,Spain,0,0,0,4,0,17,0,21,2
Greece,Sweden,0,3,8,0,0,4,14,29,4
Greece,Switzerland,0,0,0,7,4,0,2,13,3
Greece,Ukraine,8,0,0,0,6,10,0,24,3
Greece,United Kingdom,0,1,0,0,0,5,0,6,2
Hungary,Albania,0,0,10,0,0,0,0,10,1
Hungary,Armenia,1,2,0,0,0,0,0,3,2
Hungary,Australia,15,7,7,0,0,0,0,29,3
Hungary,Austria,6,0,11,0,0,0,0,17,2
Hungary,Azerbaijan,7,4,0,7,0,0,0,18,3
Hungary,Belarus,0,0,0,8,0,0,0,8,1
Hungary,Belgium,0,8,0,0,0,0,0,8,1
Hungary,Bulgaria,4,22,0,0,0,0,0,26,2
Hungary,Croatia,0,5,0,0,0,0,0,5,1
Hungary,Cyprus,5,2,7,0,0,0,0,14,3
Hungary,Czech Republic,2,0,8,12,0,0,0,22,3
Hungary,Denmark,0,5,24,6,0,0,0,35,3
Hungary,France,1,1,0,1,0,0,0,3,3
Hungary,Germany,0,0,1,0,0,0,0,1,1
Hungary,Iceland,0,0,0,12,0,0,0,12,1
Hungary,Ireland,0,0,3,0,0,0,0,3,1
Hungary,Israel,0,0,16,0,0,0,0,16,1
Hungary,Italy,0,4,6,11,0,0,0,21,3
Hungary,Latvia,8,0,0,0,0,0,0,8,1
Hungary,Lithuania,3,0,5,0,0,0,0,8,2
Hungary,Malta,10,0,0,0,0,0,0,10,1
Hungary,Moldova,0,10,2,0,0,0,0,12,2
Hungary,Netherlands,8,8,8,9,0,0,0,33,4
Hungary,North Macedonia,0,0,0,10,0,0,0,10,1
Hungary,Norway,0,6,7,10,0,0,0,23,3
Hungary,Poland,8,0,0,0,0,0,0,8,1
Hungary,Portugal,0,19,0,0,0,0,0,19,1
Hungary,Romania,0,6,0,0,0,0,0,6,1
Hungary,Russia,10,0,0,7,0,0,0,17,2
Hungary,San Marino,0,0,0,6,0,0,0,6,1
Hungary,Slovenia,0,0,0,3,0,0,0,3,1
Hungary,Spain,5,0,0,0,0,0,0,5,1
Hungary,Sweden,11,4,1,4,0,0,0,20,4
Hungary,Switzerland,0,0,0,8,0,0,0,8,1
Hungary,Ukraine,12,0,0,0,0,0,0,12,1
Hungary,United Kingdom,0,3,0,2,0,0,0,5,2
Iceland,Albania,0,0,10,0,0,0,0,10,1
Iceland,Australia,18,10,0,20,0,0,15,63,4
Iceland,Austria,3,0,17,0,0,0,8,28,3
Iceland,Azerbaijan,1,0,0,4,0,0,0,5,2
Iceland,Belgium,6,12,0,0,0,0,11,29,3
Iceland,Bulgaria,0,10,0,0,8,0,0,18,2
Iceland,Croatia,7,0,0,0,0,0,5,12,2
Iceland,Cyprus,0,0,3,0,0,0,0,3,1
Iceland,Czech Republic,5,0,11,8,0,2,6,32,5
Iceland,Denmark,0,3,12,4,0,0,0,19,3
Iceland,Estonia,0,0,7,3,0,0,0,10,2
Iceland,Finland,0,0,3,0,17,0,22,42,3
Iceland,France,7,0,9,1,13,0,4,34,5
Iceland,Germany,0,0,14,0,0,0,2,16,2
Iceland,Greece,0,0,0,0,4,0,0,4,1
Iceland,Hungary,0,6,0,0,0,0,0,6,1
Iceland,Ireland,0,0,4,0,0,0,0,4,1
Iceland,Israel,0,0,15,0,0,0,0,15,1
Iceland,Italy,0,12,0,9,12,6,1,40,5
Iceland,Lithuania,4,0,0,0,4,3,0,11,3
Iceland,Malta,4,0,0,0,4,0,0,8,2
Iceland,Moldova,0,6,0,0,0,6,0,12,2
Iceland,Netherlands,18,0,0,12,0,9,0,39,3
Iceland,North Macedonia,0,0,0,8,0,0,0,8,1
Iceland,Norway,0,2,4,12,1,18,12,49,6
Iceland,Poland,10,3,0,0,0,4,7,24,4
Iceland,Portugal,0,24,0,0,12,5,0,41,3
Iceland,Romania,0,5,0,0,0,0,0,5,1
Iceland,Russia,15,0,0,0,2,0,0,17,2
Iceland,San Marino,0,0,0,1,0,0,0,1,1
Iceland,Serbia,0,0,0,2,0,1,1,4,3
Iceland,Spain,0,0,0,0,0,6,3,9,2
Iceland,Sweden,18,16,7,20,10,20,17,108,7
Iceland,Switzerland,0,0,0,12,18,0,0,30,2
Iceland,Ukraine,0,0,0,0,11,22,2,35,3
Iceland,United Kingdom,0,7,0,0,0,14,0,21,2
Ireland,Albania,0,0,2,0,0,0,0,2,1
Ireland,Armenia,0,0,0,0,0,0,6,6,1
Ireland,Australia,6,0,0,14,0,2,4,26,4
Ireland,Austria,1,7,5,0,0,0,0,13,3
Ireland,Azerbaijan,0,1,0,7,2,0,0,10,3
Ireland,Belgium,12,17,0,0,3,0,13,45,4
Ireland,Bulgaria,15,16,10,0,1,0,0,42,4
Ireland,Croatia,0,3,0,0,0,0,2,5,2
Ireland,Cyprus,0,0,17,0,0,0,0,17,1
Ireland,Czech Republic,2,0,7,0,0,7,3,19,4
Ireland,Denmark,0,0,2,0,0,0,0,2,1
Ireland,Estonia,0,0,7,1,0,0,0,8,2
Ireland,Finland,0,0,0,0,5,0,20,25,2
Ireland,France,3,0,4,0,19,0,5,31,4
Ireland,Germany,0,3,16,2,0,0,0,21,3
Ireland,Hungary,0,2,0,0,0,0,0,2,1
Ireland,Iceland,0,0,0,6,18,1,0,25,3
Ireland,Israel,4,0,13,0,0,0,8,25,3
Ireland,Italy,6,1,0,5,6,6,0,24,5
Ireland,Latvia,8,0,0,0,0,0,0,8,1
Ireland,Lithuania,12,0,12,0,16,8,11,59,5
Ireland,Malta,0,0,0,0,14,0,0,14,1
Ireland,Moldova,0,8,1,0,0,7,4,20,4
Ireland,Netherlands,8,4,3,16,0,0,0,31,4
Ireland,North Macedonia,0,0,0,5,0,0,0,5,1
Ireland,Norway,0,2,0,18,7,4,5,36,5
Ireland,Poland,10,7,0,0,0,10,8,35,4
Ireland,Portugal,0,15,6,0,2,4,0,27,4
Ireland,Romania,0,20,0,0,0,2,0,22,2
Ireland,Russia,8,0,0,8,0,0,0,16,2
Ireland,Serbia,0,0,0,0,0,6,0,6,1
Ireland,Spain,0,0,1,0,0,17,0,18,2
Ireland,Sweden,7,6,0,14,1,13,18,59,6
Ireland,Switzerland,0,0,0,17,8,0,0,25,2
Ireland,Ukraine,4,0,0,0,14,15,7,40,4
Ireland,United Kingdom,10,4,10,3,0,14,2,43,6
Israel,Armenia,8,0,0,0,0,0,3,11,2
Israel,Australia,15,0,7,11,0,5,0,38,4
Israel,Austria,3,0,13,0,0,0,6,22,3
Israel,Azerbaijan,2,0,0,10,4,0,0,16,3
Israel,Belarus,0,3,0,0,0,0,0,3,1
Israel,Belgium,7,14,0,0,6,4,3,34,5
Israel,Bulgaria,14,17,1,0,1,0,0,33,4
Israel,Croatia,3,0,0,0,0,0,6,9,2
Israel,Cyprus,0,0,2,0,3,0,1,6,3
Israel,Czech Republic,0,0,12,1,0,2,6,21,4
Israel,Denmark,0,0,6,1,0,0,0,7,2
Israel,Estonia,0,0,8,8,0,0,5,21,3
Israel,Finland,0,0,6,0,4,0,20,30,3
Israel,France,20,10,6,6,16,0,1,59,6
Israel,Germany,0,0,8,0,0,0,0,8,1
Israel,Hungary,0,1,3,0,0,0,0,4,2
Israel,Iceland,0,0,0,0,1,0,0,1,1
Israel,Italy,0,10,5,18,7,11,7,58,6
Israel,Latvia,5,0,0,0,0,0,0,5,1
Israel,Lithuania,1,0,0,0,13,0,0,14,2
Israel,Malta,0,0,0,4,10,0,0,14,2
Israel,Moldova,0,8,10,0,0,6,5,29,4
Israel,Netherlands,0,0,0,14,0,3,0,17,2
Israel,Norway,0,5,0,10,0,4,20,39,4
Israel,Poland,4,0,0,0,0,7,2,13,3
Israel,Portugal,0,24,0,0,0,0,0,24,1
Israel,Romania,0,7,0,0,0,0,0,7,1
Israel,Russia,10,0,0,12,17,0,0,39,3
Israel,Serbia,0,0,0,0,0,7,0,7,1
Israel,Slovenia,0,0,4,0,0,0,0,4,1
Israel,Spain,4,0,0,5,0,11,0,20,3
Israel,Sweden,0,13,10,6,0,17,16,62,5
Israel,Switzerland,0,0,0,10,18,0,0,28,2
Israel,Ukraine,20,4,7,0,16,19,15,81,6
Israel,United Kingdom,0,0,8,0,0,20,0,28,2
Italy,Albania,0,0,12,13,10,0,7,42,4
Italy,Armenia,1,4,0,0,0,8,5,18,4
Italy,Australia,6,0,0,12,0,2,0,20,3
Italy,Austria,0,1,7,0,0,0,0,8,2
Italy,Azerbaijan,0,12,0,8,0,0,0,20,2
Italy,Belgium,0,9,0,0,5,7,2,23,4
Italy,Bulgaria,7,10,0,0,0,0,0,17,2
Italy,Croatia,0,6,0,0,0,0,4,10,2
Italy,Cyprus,7,0,8,0,0,0,0,15,2
Italy,Czech Republic,0,0,0,4,0,0,9,13,2
Italy,Denmark,0,0,12,16,0,0,0,28,2
Italy,Estonia,0,0,10,5,0,0,6,21,3
Italy,Finland,0,0,0,0,18,1,6,25,3
Italy,France,12,7,0,5,4,0,0,28,4
Italy,Georgia,6,0,0,0,0,0,0,6,1
Italy,Germany,0,0,13,0,0,0,0,13,1
Italy,Greece,0,0,0,0,0,10,0,10,1
Italy,Hungary,0,4,2,0,0,0,0,6,2
Italy,Iceland,0,0,0,7,14,0,0,21,2
Italy,Ireland,0,0,5,0,0,0,0,5,1
Italy,Israel,8,0,9,0,4,0,17,38,4
Italy,Lithuania,2,0,0,0,17,0,3,22,3
Italy,Malta,5,0,0,8,7,0,0,20,3
Italy,Moldova,0,20,10,0,2,15,12,59,5
Italy,Netherlands,4,0,0,5,0,14,0,23,3
Italy,North Macedonia,0,0,0,10,0,0,0,10,1
Italy,Norway,0,3,12,10,2,4,10,41,6
Italy,Poland,10,3,0,0,0,3,0,16,3
Italy,Portugal,0,10,0,0,6,1,0,17,3
Italy,Romania,0,10,0,0,0,8,0,18,2
Italy,Russia,8,0,0,8,7,0,0,23,3
Italy,San Marino,0,0,0,0,3,0,0,3,1
Italy,Serbia,4,0,1,0,4,11,1,21,5
Italy,Spain,12,0,0,0,0,0,0,12,1
Italy,Sweden,2,10,1,2,0,5,11,31,6
Italy,Switzerland,0,0,0,3,0,3,5,11,3
Italy,Ukraine,22,7,8,0,13,12,18,80,6
Italy,United Kingdom,0,0,6,0,0,12,0,18,2
Latvia,Armenia,6,0,0,0,0,0,1,7,2
Latvia,Australia,11,5,6,6,0,2,0,30,5
Latvia,Austria,4,6,7,0,0,0,0,17,3
Latvia,Azerbaijan,3,0,0,10,0,0,0,13,2
Latvia,Belarus,0,8,0,0,0,0,0,8,1
Latvia,Belgium,0,22,0,0,0,0,2,24,2
Latvia,Bulgaria,2,15,0,0,5,0,0,22,3
Latvia,Croatia,0,0,0,0,0,0,4,4,1
Latvia,Cyprus,0,0,1,0,0,0,6,7,2
Latvia,Czech Republic,0,0,4,3,0,0,1,8,3
Latvia,Denmark,0,0,5,7,0,0,0,12,2
Latvia,Estonia,0,0,18,15,0,8,18,59,4
Latvia,Finland,0,0,0,0,12,1,12,25,3
Latvia,France,0,0,10,0,6,0,0,16,2
Latvia,Georgia,2,0,0,0,0,0,0,2,1
Latvia,Germany,0,0,3,0,0,0,0,3,1
Latvia,Greece,0,0,0,0,0,7,0,7,1
Latvia,Hungary,0,2,0,0,0,0,0,2,1
Latvia,Iceland,0,0,0,7,15,0,0,22,2
Latvia,Israel,2,0,8,0,0,0,10,20,3
Latvia,Italy,0,3,6,5,15,0,3,32,5
Latvia,Lithuania,18,0,16,0,18,11,17,80,5
Latvia,Malta,4,0,0,1,2,0,0,7,3
Latvia,Moldova,0,9,7,0,0,7,0,23,3
Latvia,Netherlands,3,0,5,17,0,4,0,29,4
Latvia,North Macedonia,0,0,0,8,0,0,0,8,1
Latvia,Norway,0,8,2,8,2,10,3,33,6
Latvia,Poland,5,0,0,0,0,0,0,5,1
Latvia,Portugal,0,22,0,0,0,6,0,28,2
Latvia,Romania,0,8,0,0,0,0,0,8,1
Latvia,Russia,19,0,0,16,11,0,0,46,3
Latvia,Serbia,0,0,0,0,0,2,0,2,1
Latvia,Slovenia,0,0,1,2,0,0,2,5,3
Latvia,Spain,0,0,0,0,0,4,8,12,2
Latvia,Sweden,15,4,12,10,1,16,18,76,7
Latvia,Switzerland,0,0,0,1,16,3,0,20,3
Latvia,Ukraine,22,0,3,0,13,24,11,73,5
Latvia,United Kingdom,0,4,2,0,0,11,0,17,3
Lithuania,Armenia,4,3,0,0,0,0,0,7,2
Lithuania,Australia,17,1,0,3,0,0,4,25,4
Lithuania,Austria,1,5,15,0,0,0,8,29,4
Lithuania,Azerbaijan,0,0,0,15,0,0,0,15,1
Lithuania,Belarus,0,1,0,0,0,0,0,1,1
Lithuania,Belgium,5,14,0,0,9,0,7,35,4
Lithuania,Bulgaria,2,14,0,0,2,0,0,18,3
Lithuania,Croatia,0,0,0,0,0,0,4,4,1
Lithuania,Cyprus,0,0,7,0,0,0,1,8,2
Lithuania,Czech Republic,0,0,8,7,0,0,0,15,2
Lithuania,Denmark,0,0,10,0,0,0,0,10,1
Lithuania,Estonia,0,0,12,4,0,8,10,34,4
Lithuania,Finland,0,0,0,0,7,0,15,22,2
Lithuania,France,4,0,15,0,13,0,7,39,4
Lithuania,Georgia,14,0,0,0,0,0,0,14,1
Lithuania,Germany,0,0,7,5,0,0,0,12,2
Lithuania,Hungary,2,2,2,0,0,0,0,6,3
Lithuania,Iceland,0,0,0,12,7,2,0,21,3
Lithuania,Ireland,0,0,4,0,0,0,0,4,1
Lithuania,Israel,6,0,7,0,1,0,13,27,4
Lithuania,Italy,0,13,7,13,20,7,6,66,6
Lithuania,Latvia,19,0,0,0,0,0,0,19,1
Lithuania,Malta,0,0,0,0,3,0,0,3,1
Lithuania,Moldova,0,8,0,0,0,5,2,15,3
Lithuania,Netherlands,0,2,3,19,0,7,0,31,4
Lithuania,Norway,0,16,0,8,5,2,0,31,4
Lithuania,Poland,9,0,0,0,0,0,8,17,2
Lithuania,Portugal,0,24,7,0,6,15,0,52,4
Lithuania,Romania,0,4,0,0,0,0,0,4,1
Lithuania,Russia,8,0,0,13,4,0,0,25,3
Lithuania,Serbia,0,0,0,0,0,1,0,1,1
Lithuania,Slovenia,0,0,0,4,0,0,0,4,1
Lithuania,Spain,0,0,0,0,0,11,0,11,1
Lithuania,Sweden,7,9,12,11,1,13,19,72,7
Lithuania,Switzerland,0,0,0,2,14,7,0,23,3
Lithuania,Ukraine,18,0,0,0,24,24,12,78,4
Lithuania,United Kingdom,0,0,0,0,0,14,0,14,1
Macedonia,Albania,0,0,18,0,0,0,0,18,1
Macedonia,Armenia,7,0,0,0,0,0,0,7,1
Macedonia,Australia,11,8,0,0,0,0,0,19,2
Macedonia,Azerbaijan,1,0,0,0,0,0,0,1,1
Macedonia,Belgium,8,4,0,0,0,0,0,12,2
Macedonia,Bulgaria,20,24,7,0,0,0,0,51,3
Macedonia,Croatia,11,10,0,0,0,0,0,21,2
Macedonia,Cyprus,0,0,18,0,0,0,0,18,1
Macedonia,Czech Republic,0,0,9,0,0,0,0,9,1
Macedonia,Denmark,0,7,0,0,0,0,0,7,1
Macedonia,Estonia,0,0,12,0,0,0,0,12,1
Macedonia,Finland,0,0,5,0,0,0,0,5,1
Macedonia,France,0,11,0,0,0,0,0,11,1
Macedonia,Germany,0,0,3,0,0,0,0,3,1
Macedonia,Hungary,0,3,0,0,0,0,0,3,1
Macedonia,Israel,5,1,4,0,0,0,0,10,3
Macedonia,Italy,1,8,6,0,0,0,0,15,3
Macedonia,Latvia,3,0,0,0,0,0,0,3,1
Macedonia,Moldova,0,8,1,0,0,0,0,9,2
Macedonia,Netherlands,2,0,0,0,0,0,0,2,1
Macedonia,Norway,0,2,0,0,0,0,0,2,1
Macedonia,Poland,2,0,0,0,0,0,0,2,1
Macedonia,Portugal,0,17,0,0,0,0,0,17,1
Macedonia,Romania,0,4,0,0,0,0,0,4,1
Macedonia,Russia,8,0,0,0,0,0,0,8,1
Macedonia,Serbia,19,0,18,0,0,0,0,37,2
Macedonia,Slovenia,0,0,4,0,0,0,0,4,1
Macedonia,Sweden,0,6,7,0,0,0,0,13,2
Macedonia,Ukraine,18,0,4,0,0,0,0,22,2
Macedonia,United Kingdom,0,3,0,0,0,0,0,3,1
Malta,Albania,0,0,0,2,12,0,3,17,3
Malta,Armenia,7,1,0,0,0,0,0,8,2
Malta,Australia,15,0,9,3,0,6,0,33,4
Malta,Austria,0,0,1,0,0,0,1,2,2
Malta,Azerbaijan,6,0,0,10,0,2,0,18,3
Malta,Belarus,0,2,0,0,0,0,0,2,1
Malta,Belgium,0,5,0,0,0,0,0,5,1
Malta,Bulgaria,18,18,9,0,0,0,0,45,3
Malta,Croatia,0,9,0,0,0,0,0,9,1
Malta,Cyprus,5,0,22,6,6,0,5,44,5
Malta,Czech Republic,0,0,8,0,0,3,0,11,2
Malta,Denmark,0,0,2,0,0,0,0,2,1
Malta,Estonia,0,0,0,0,0,5,0,5,1
Malta,Finland,0,0,0,0,9,1,16,26,3
Malta,France,8,4,8,0,6,0,1,27,5
Malta,Germany,0,0,4,0,0,0,0,4,1
Malta,Greece,0,0,0,4,6,1,0,11,3
Malta,Hungary,5,5,0,0,0,0,0,10,2
Malta,Iceland,0,0,0,1,5,0,0,6,2
Malta,Israel,1,7,14,0,0,0,13,35,4
Malta,Italy,15,24,22,24,12,17,22,136,7
Malta,Lithuania,0,0,5,0,6,0,4,15,3
Malta,Moldova,0,1,0,0,0,0,0,1,1
Malta,Netherlands,3,0,0,17,0,0,0,20,2
Malta,North Macedonia,0,0,0,8,0,0,0,8,1
Malta,Norway,0,0,4,7,10,4,9,34,5
Malta,Poland,0,0,0,0,0,6,0,6,1
Malta,Portugal,0,18,0,0,7,0,3,28,3
Malta,Romania,0,11,0,0,0,3,0,14,2
Malta,Russia,14,0,0,14,0,0,0,28,2
Malta,San Marino,0,0,0,1,1,0,0,2,2
Malta,Serbia,0,0,0,0,4,6,2,12,3
Malta,Spain,2,0,0,0,0,19,0,21,2
Malta,Sweden,0,7,7,11,16,15,22,78,6
Malta,Switzerland,0,0,0,8,10,0,6,24,3
Malta,Ukraine,4,0,0,0,6,8,5,23,4
Malta,United Kingdom,13,4,1,0,0,20,4,42,5
Moldova,Albania,0,0,0,0,0,0,1,1,1
Moldova,Armenia,12,6,0,0,0,0,4,22,3
Moldova,Australia,15,4,7,10,0,6,5,47,6
Moldova,Austria,4,2,3,0,0,0,0,9,3
